brand,model_name,category,wireless,noise_cancelling,price,currency,rating,first_word,OS_type,popularity
AI,W610,Headphones,1,0,68.796,USD,,AI,Android/Window,1
AI,W610,Headphones,1,0,68.796,USD,,AI,Android/Window,1
AICase,Wireless Tws 5.0 iPhone Samsung Android,Headphones,1,1,12.29,USD,2.4,Bluetooth,Android/Window,1
AICase,Wireless Tws 5.0 iPhone Samsung Android,Headphones,1,1,12.29,USD,2.4,Bluetooth,Android/Window,1
AKG,K72,Headphones,1,0,37.99,USD,4.5,Genuine,Android/Window,1
AKG,EO-IG955,Headphones,1,0,6.99,USD,,New,Android/Window,1
AKG,K702,Headphones,1,0,85.4,USD,,Genuine,Android/Window,1
AKG,K72,Headphones,1,0,37.99,USD,4.5,Genuine,Android/Window,1
AKG,K72,Headphones,1,0,37.99,USD,4.5,Genuine,Android/Window,1
AMORNO,Does not apply,Headphones,1,0,27.16,USD,,Bluetooth,Android/Window,1
AMPrime,iPhone,Headphones,1,0,8.99,USD,,Bluetooth,Android/Window,1
AMPrime,TWS-F9,Headphones,1,0,8.99,USD,,Wireless,Android/Window,1
AMPrime,TWS-F9,Headphones,1,0,8.99,USD,,Bluetooth,Android/Window,1
AMPrime,iPhone,Headphones,1,0,8.99,USD,,Waterproof,Android/Window,1
AMPrime,TWS-F9,Headphones,1,0,8.99,USD,,Bluetooth,Android/Window,1
AMPrime,TWS-F9,Headphones,1,0,8.99,USD,,Bluetooth,Android/Window,1
AMPrime,iPhone,Headphones,1,0,8.99,USD,,Bluetooth,Android/Window,1
AOKO,AB998,Headphones,1,0,23.99,USD,,Wireless,Android/Window,1
AS SHOW,Sennheiser Momentum 4,Headphones,1,0,110,USD,,Sennheiser,Android/Window,1
AS SHOWN,Solo 3 Club Collection,Headphones,1,0,129.99,USD,,NEW,Android/Window,1
AS SHOWN,Solo 3 Club Collection,Headphones,1,0,129.99,USD,,NEW,Android/Window,1
AS SHOWN,Solo 3 Club Collection,Headphones,1,0,129.99,USD,,NEW,Android/Window,1
AUDIO123,none,Headphones,1,0,10.0203,USD,,Replacement,Android/Window,1
Accessory House,SoundLink AE2 Beige,Headphones,0,0,31.6865,USD,,Ear,Android/Window,1
Adoope,Does not apply,Headphones,1,0,23.19,USD,,Wired,Android/Window,1
AfterShokz,Openfit Air,Headphones,1,0,24.95,USD,5,Shokz,Android/Window,1
AfterShokz,Shokz OpenFit,Headphones,1,1,64.99,USD,4.8,Shokz,Android/Window,1
AfterShokz,Shokz OpenFit,Headphones,1,1,64.99,USD,4.8,Shokz,Android/Window,1
AfterShokz,OpenRun,Headphones,1,0,83.5,USD,4.6,Shokz,Android/Window,1
AfterShokz,Shokz OpenFit,Headphones,1,1,64.99,USD,4.8,Shokz,Android/Window,1
AfterShokz,Shokz OpenFit 2,Headphones,1,0,99.99,USD,,Shokz,Android/Window,1
AfterShokz,Shokz OpenRun,Headphones,1,0,197.46,USD,,Shokz,Android/Window,1
AfterShokz,Openfit Air,Headphones,1,0,24.95,USD,5,Shokz,Android/Window,1
Agicea,Silence,Headphones,0,1,9,USD,,New,Android/Window,1
Agicea,Silence,Headphones,0,1,9,USD,,New,Android/Window,1
Altatac,WIRELESSHEADSET,Headphones,1,0,11.95,USD,,Wireless,Android/Window,1
Ancel,Cell Phone &  Laptop,Headphones,1,0,5.59,USD,,Wired,Android/Window,1
Angteela,Does not apply,Headphones,1,0,86.44,USD,,Wireless,Android/Window,1
Angteela,Does not apply,Headphones,1,0,86.44,USD,,Wireless,Android/Window,1
Anker,H700,Headphones,1,1,30,USD,,Anker,Android/Window,3
Anker,Anker A3927 Wireless Earbuds,Headphones,0,0,66.89,USD,4.9,Anker,Android/Window,3
Anker,Anker A3927 Wireless Earbuds,Headphones,0,0,49.99,USD,4.9,Anker,Android/Window,3
Anker,soundcore V20i Open-Ear Headphones,Headphones,1,0,34.36,USD,,Soundcore,Android/Window,3
Anker,Anker AK-A34020F1 Soundcore Spirit,Portable Audio & Headphones,0,0,29.99,USD,4.5,Anker,Android/Window,3
Anker,Anker Soundcore P25i True,Headphones,1,0,30.95,USD,,Anker,Android/Window,3
Anker,Anker A3927 Wireless Earbuds,Headphones,0,0,31.34,USD,4.9,Anker,Android/Window,3
Anker,Anker SoundCore Life 2,Headphones,0,0,49.95,USD,4.9,Anker,Android/Window,3
Anker,Anker SoundCore Life Note,Headphones,0,0,74.99,USD,3.4,Anker,Android/Window,3
Anker,Anker Soundcore Liberty Pro 3,Headphones,1,1,59.66,USD,4.7,Soundcore,Android/Window,3
Anker,Soundcore Life P2,Headphones,1,0,49.66,USD,4.4,Soundcore,Android/Window,3
Anker,Soundcore by Anker Liberty,Headphones,1,0,53.42,USD,,Soundcore,Android/Window,3
Anker,Anker Soundcore Liberty Pro 3,Headphones,1,1,59.66,USD,4.7,Soundcore,Android/Window,3
Anker,Soundcore Liberty Air 2,Headphones,1,0,32.63,USD,4.8,Anker,Android/Window,3
Anker,Soundcore P30i,Headphones,1,1,32.99,USD,5,Soundcore,Android/Window,3
Anker,Does not apply,Headphones,1,0,58.95,USD,,Soundcore,Android/Window,3
Anker,Soundcore Liberty Air 2 Pro,Headphones,1,1,50.3,USD,4.7,Soundcore,Android/Window,3
Anker,Soundcore Liberty Air 2 Pro,Headphones,1,0,33.95,USD,,Anker,Android/Window,3
Anker,Anker SoundCore Liberty Air,Headphones,0,0,50.3,USD,4.7,Anker,Android/Window,3
Anker,Anker Soundcore Liberty Pro 3,Headphones,1,1,75,USD,,Anker,Android/Window,3
Anker,Anker A3955 Soundcore P40i,Headphones,0,0,41.99,USD,,Anker,Android/Window,3
Anker,Sport X20,Headphones,1,0,54.96,USD,,Anker,Android/Window,3
Anker,Anker Life Q30 Hybrid,Headphones,0,0,69.99,USD,4.8,Anker,Android/Window,3
Anker,Anker Soundcore P25i True,Headphones,1,0,30.95,USD,,Anker,Android/Window,3
Anker,Anker Soundcore Liberty Pro 3,Headphones,1,1,57.89,USD,4.7,Soundcore,Android/Window,3
Anker,Life Q30,Headphones,1,1,73.09,USD,,Soundcore,Android/Window,3
Anker,C30i,Headphones,1,0,45.61,USD,,Soundcore,Android/Window,3
Anker,Anker AK-848061059212 Soundcore Liberty,Headphones,0,0,10,USD,5,Anker,Android/Window,3
Anker,Anker Soundcore Liberty Pro 3,Headphones,1,1,59.66,USD,4.7,Soundcore,Android/Window,3
Anker,Anker Soundcore Liberty Air 2,Headphones,1,0,19.95,USD,,Anker,Android/Window,3
Anker,Soundcore Sport X20,Headphones,1,0,49.99,USD,,Soundcore,Android/Window,3
Anker,Anker Soundcore Liberty Air Total,Headphones,1,0,24.99,USD,,Anker,Android/Window,3
Anker,Soundcore Life P2,Headphones,1,0,49.66,USD,4.4,Soundcore,Android/Window,3
Anker,Soundcore P30i,Headphones,1,1,32.99,USD,5,Soundcore,Android/Window,3
Anker,Anker AK-848061059212 Soundcore Liberty,Headphones,0,0,58.23,USD,5,Anker,Android/Window,3
Anker,Anker Life Q30 Over,Headphones,0,0,67.49,USD,4.8,Anker,Android/Window,3
Anker,Soundcore Space One Pro,Headphones,1,0,223.74,USD,,Anker,Android/Window,3
Anker,Anker Life Note TWS,Headphones,0,0,14.99,USD,4.9,Anker,Android/Window,3
Anker,P30i,Headphones,1,1,24.99,USD,,Soundcore,Android/Window,3
Anker,Anker SoundCore Spirit X,Headphones,0,0,31.44,USD,4.8,Anker,Android/Window,3
Anker,Anker AK-848061043365 Wireless In-Ear,Headphones,0,0,89.99,USD,4.8,Anker,Android/Window,3
Anker,Soundcore Liberty Air 2 Pro,Headphones,1,1,50.3,USD,4.7,Soundcore,Android/Window,3
Anker,Soundcore by Anker Liberty,Headphones,1,0,53.42,USD,,Soundcore,Android/Window,3
Anker,Soundcore Life P2,Headphones,1,0,49.66,USD,4.4,Soundcore,Android/Window,3
Anker,Soundcore Liberty Air 2,Headphones,1,0,32.33,USD,,Anker,Android/Window,3
Anker,Soundcore by Anker Liberty,Headphones,1,0,53.42,USD,,Soundcore,Android/Window,3
Anker,Soundcore Sport X20,Headphones,1,0,39.99,USD,,Soundcore,Android/Window,3
Anker,Anker Soundcore Liberty Pro 3,Headphones,1,1,57.89,USD,4.7,Soundcore,Android/Window,3
Anker,Anker Soundcore Liberty Pro 3,Headphones,1,1,59.66,USD,4.7,Soundcore,Android/Window,3
Anker,Soundcore Space One Pro,Headphones,1,0,223.74,USD,,Anker,Android/Window,3
Anker,A3025014,Headphones,1,0,45,USD,,Anker,Android/Window,3
Aotonok,C16,Headphones,1,0,36,USD,,Wireless,Android/Window,1
Apple,Apple Airpods 4 ANC,Headphones,1,1,42.95,USD,4.8,Apple,IOS,3
Apple,AirPods (3rd generation),Headphones,1,0,75,USD,,Apple,IOS,3
Apple,Apple AirPods 2nd Generation,Headphones,1,0,46.99,USD,,New,IOS,3
Apple,A2031,Headphones,1,0,23.5,USD,,Apple,IOS,3
Apple,Apple AirPods Pro (2nd generation),Headphones,1,0,66,USD,4.6,For,IOS,3
